id	sample	name	stain	count	ancestry
703937	IPIHNSC023.T1	CD4 hi	treg	21	"Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703938	IPIHNSC023.T1	CD25 hi	treg	4	"Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703939	IPIHNSC023.T1	CD45RO hi	treg	11	"Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703940	IPIHNSC023.T1	CD127 hi	treg	13	"Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703941	IPIHNSC023.T1	CTLA4 hi	treg	7	"Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703942	IPIHNSC023.T1	FoxP3 hi	treg	2	"Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703943	IPIHNSC023.T1	ICOs hi	treg	2	"Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703944	IPIHNSC023.T1	Ki67 hi	treg	8	"Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703945	IPIHNSC023.T1	LiveDead_HLADR hi	treg	21	"Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703946	IPIHNSC023.T1	PD1 hi	treg	2	"Q1: CD8a-,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703947	IPIHNSC023.T1	Q2: CD8a+,CD4+	treg	0	"CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703948	IPIHNSC023.T1	CD4 hi	treg	0	"Q2: CD8a+,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703949	IPIHNSC023.T1	CD25 hi	treg	0	"Q2: CD8a+,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703950	IPIHNSC023.T1	CD45RO hi	treg	0	"Q2: CD8a+,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703951	IPIHNSC023.T1	CD127 hi	treg	0	"Q2: CD8a+,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703952	IPIHNSC023.T1	CTLA4 hi	treg	0	"Q2: CD8a+,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703953	IPIHNSC023.T1	FoxP3 hi	treg	0	"Q2: CD8a+,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703954	IPIHNSC023.T1	ICOs hi	treg	0	"Q2: CD8a+,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703955	IPIHNSC023.T1	Ki67 hi	treg	0	"Q2: CD8a+,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703956	IPIHNSC023.T1	LiveDead_HLADR hi	treg	0	"Q2: CD8a+,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703957	IPIHNSC023.T1	PD1 hi	treg	0	"Q2: CD8a+,CD4+	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703958	IPIHNSC023.T1	Q3: CD8a+,CD4-	treg	8	"CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703959	IPIHNSC023.T1	CD4 hi	treg	0	"Q3: CD8a+,CD4-	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703960	IPIHNSC023.T1	CD25 hi	treg	1	"Q3: CD8a+,CD4-	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703961	IPIHNSC023.T1	CD45RO hi	treg	3	"Q3: CD8a+,CD4-	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703962	IPIHNSC023.T1	CD127 hi	treg	1	"Q3: CD8a+,CD4-	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703963	IPIHNSC023.T1	CTLA4 hi	treg	2	"Q3: CD8a+,CD4-	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703964	IPIHNSC023.T1	FoxP3 hi	treg	1	"Q3: CD8a+,CD4-	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703965	IPIHNSC023.T1	ICOs hi	treg	0	"Q3: CD8a+,CD4-	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703966	IPIHNSC023.T1	Ki67 hi	treg	1	"Q3: CD8a+,CD4-	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703967	IPIHNSC023.T1	LiveDead_HLADR hi	treg	8	"Q3: CD8a+,CD4-	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703968	IPIHNSC023.T1	PD1 hi	treg	0	"Q3: CD8a+,CD4-	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703969	IPIHNSC023.T1	Q4: CD8a-,CD4-	treg	8	"CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703970	IPIHNSC023.T1	CD4 hi	treg	0	"Q4: CD8a-,CD4-	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703971	IPIHNSC023.T1	CD25 hi	treg	0	"Q4: CD8a-,CD4-	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703972	IPIHNSC023.T1	CD45RO hi	treg	8	"Q4: CD8a-,CD4-	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703973	IPIHNSC023.T1	CD127 hi	treg	1	"Q4: CD8a-,CD4-	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703974	IPIHNSC023.T1	CTLA4 hi	treg	1	"Q4: CD8a-,CD4-	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703975	IPIHNSC023.T1	FoxP3 hi	treg	0	"Q4: CD8a-,CD4-	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703976	IPIHNSC023.T1	ICOs hi	treg	0	"Q4: CD8a-,CD4-	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703977	IPIHNSC023.T1	Ki67 hi	treg	5	"Q4: CD8a-,CD4-	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703978	IPIHNSC023.T1	LiveDead_HLADR hi	treg	8	"Q4: CD8a-,CD4-	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703979	IPIHNSC023.T1	PD1 hi	treg	0	"Q4: CD8a-,CD4-	CD3+,HLADR+	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703980	IPIHNSC023.T1	CD3+,HLADR-	treg	929	"CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703981	IPIHNSC023.T1	CD4 hi	treg	601	"CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703982	IPIHNSC023.T1	CD25 hi	treg	86	"CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703983	IPIHNSC023.T1	CD45RO hi	treg	29	"CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703984	IPIHNSC023.T1	CD127 hi	treg	254	"CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703985	IPIHNSC023.T1	CTLA4 hi	treg	27	"CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703986	IPIHNSC023.T1	FoxP3 hi	treg	32	"CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703987	IPIHNSC023.T1	ICOs hi	treg	59	"CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703988	IPIHNSC023.T1	Ki67 hi	treg	11	"CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703989	IPIHNSC023.T1	LiveDead_HLADR hi	treg	3	"CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703990	IPIHNSC023.T1	PD1 hi	treg	68	"CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703991	IPIHNSC023.T1	Q1: CD8a-,CD4+	treg	592	"CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703992	IPIHNSC023.T1	CD3+,HLADR-,CD4+,CD25+,FoxP3+ (Tr)	treg	59	"Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703993	IPIHNSC023.T1	CD4 hi	treg	59	"CD3+,HLADR-,CD4+,CD25+,FoxP3+ (Tr)	Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703994	IPIHNSC023.T1	CD25 hi	treg	54	"CD3+,HLADR-,CD4+,CD25+,FoxP3+ (Tr)	Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703995	IPIHNSC023.T1	CD45RO hi	treg	4	"CD3+,HLADR-,CD4+,CD25+,FoxP3+ (Tr)	Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703996	IPIHNSC023.T1	CD127 hi	treg	21	"CD3+,HLADR-,CD4+,CD25+,FoxP3+ (Tr)	Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703997	IPIHNSC023.T1	CTLA4 hi	treg	18	"CD3+,HLADR-,CD4+,CD25+,FoxP3+ (Tr)	Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703998	IPIHNSC023.T1	FoxP3 hi	treg	24	"CD3+,HLADR-,CD4+,CD25+,FoxP3+ (Tr)	Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
703999	IPIHNSC023.T1	ICOs hi	treg	28	"CD3+,HLADR-,CD4+,CD25+,FoxP3+ (Tr)	Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704000	IPIHNSC023.T1	Ki67 hi	treg	3	"CD3+,HLADR-,CD4+,CD25+,FoxP3+ (Tr)	Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704001	IPIHNSC023.T1	LiveDead_HLADR hi	treg	0	"CD3+,HLADR-,CD4+,CD25+,FoxP3+ (Tr)	Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704002	IPIHNSC023.T1	PD1 hi	treg	6	"CD3+,HLADR-,CD4+,CD25+,FoxP3+ (Tr)	Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704003	IPIHNSC023.T1	CD3+,HLADR-,CD4+,CD25- (Th)	treg	528	"Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704004	IPIHNSC023.T1	CD4 hi	treg	528	"CD3+,HLADR-,CD4+,CD25- (Th)	Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704005	IPIHNSC023.T1	CD25 hi	treg	23	"CD3+,HLADR-,CD4+,CD25- (Th)	Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704006	IPIHNSC023.T1	CD45RO hi	treg	16	"CD3+,HLADR-,CD4+,CD25- (Th)	Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704007	IPIHNSC023.T1	CD127 hi	treg	169	"CD3+,HLADR-,CD4+,CD25- (Th)	Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704008	IPIHNSC023.T1	CTLA4 hi	treg	5	"CD3+,HLADR-,CD4+,CD25- (Th)	Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704009	IPIHNSC023.T1	FoxP3 hi	treg	3	"CD3+,HLADR-,CD4+,CD25- (Th)	Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704010	IPIHNSC023.T1	ICOs hi	treg	25	"CD3+,HLADR-,CD4+,CD25- (Th)	Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704011	IPIHNSC023.T1	Ki67 hi	treg	3	"CD3+,HLADR-,CD4+,CD25- (Th)	Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704012	IPIHNSC023.T1	LiveDead_HLADR hi	treg	2	"CD3+,HLADR-,CD4+,CD25- (Th)	Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704013	IPIHNSC023.T1	PD1 hi	treg	49	"CD3+,HLADR-,CD4+,CD25- (Th)	Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704014	IPIHNSC023.T1	CD4 hi	treg	592	"Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704015	IPIHNSC023.T1	CD25 hi	treg	82	"Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704016	IPIHNSC023.T1	CD45RO hi	treg	22	"Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704017	IPIHNSC023.T1	CD127 hi	treg	194	"Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704018	IPIHNSC023.T1	CTLA4 hi	treg	24	"Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704019	IPIHNSC023.T1	FoxP3 hi	treg	27	"Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704020	IPIHNSC023.T1	ICOs hi	treg	57	"Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704021	IPIHNSC023.T1	Ki67 hi	treg	6	"Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704022	IPIHNSC023.T1	LiveDead_HLADR hi	treg	2	"Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704023	IPIHNSC023.T1	PD1 hi	treg	56	"Q1: CD8a-,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704024	IPIHNSC023.T1	Q2: CD8a+,CD4+	treg	9	"CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704025	IPIHNSC023.T1	CD4 hi	treg	9	"Q2: CD8a+,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704026	IPIHNSC023.T1	CD25 hi	treg	2	"Q2: CD8a+,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704027	IPIHNSC023.T1	CD45RO hi	treg	0	"Q2: CD8a+,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704028	IPIHNSC023.T1	CD127 hi	treg	4	"Q2: CD8a+,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704029	IPIHNSC023.T1	CTLA4 hi	treg	0	"Q2: CD8a+,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704030	IPIHNSC023.T1	FoxP3 hi	treg	0	"Q2: CD8a+,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704031	IPIHNSC023.T1	ICOs hi	treg	0	"Q2: CD8a+,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704032	IPIHNSC023.T1	Ki67 hi	treg	0	"Q2: CD8a+,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704033	IPIHNSC023.T1	LiveDead_HLADR hi	treg	0	"Q2: CD8a+,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704034	IPIHNSC023.T1	PD1 hi	treg	0	"Q2: CD8a+,CD4+	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704035	IPIHNSC023.T1	Q3: CD8a+,CD4-	treg	258	"CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704036	IPIHNSC023.T1	CD4 hi	treg	0	"Q3: CD8a+,CD4-	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704037	IPIHNSC023.T1	CD25 hi	treg	2	"Q3: CD8a+,CD4-	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704038	IPIHNSC023.T1	CD45RO hi	treg	2	"Q3: CD8a+,CD4-	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704039	IPIHNSC023.T1	CD127 hi	treg	54	"Q3: CD8a+,CD4-	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704040	IPIHNSC023.T1	CTLA4 hi	treg	2	"Q3: CD8a+,CD4-	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704041	IPIHNSC023.T1	FoxP3 hi	treg	4	"Q3: CD8a+,CD4-	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704042	IPIHNSC023.T1	ICOs hi	treg	2	"Q3: CD8a+,CD4-	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704043	IPIHNSC023.T1	Ki67 hi	treg	2	"Q3: CD8a+,CD4-	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704044	IPIHNSC023.T1	LiveDead_HLADR hi	treg	0	"Q3: CD8a+,CD4-	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704045	IPIHNSC023.T1	PD1 hi	treg	11	"Q3: CD8a+,CD4-	CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
704046	IPIHNSC023.T1	Q4: CD8a-,CD4-	treg	70	"CD3+,HLADR-	CD3+ all	CD45+	Live	Single Cells 2	Single Cells	Time"
